Reaction_ID	Reaction_name	Subsystem	Reaction_formula	design_121	design_124	design_25	Jaccard
LPLIPAL2ATG180	Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C18:0)	Glycerophospholipid Metabolism	2agpg180_c + pg180_c  -> g3pg_c + apg180_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
LPLIPAL2ATG161	Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C16:1)	Glycerophospholipid Metabolism	pg161_c + 2agpg161_c  -> g3pg_c + apg161_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
LPLIPAL2ATG181	Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C18:1)	Glycerophospholipid Metabolism	2agpg181_c + pg181_c  -> g3pg_c + apg181_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
ALPATE160pp	Apolipoprotein N-acyltransferase (phosphatidylethanolamine, periplasm)	Unassigned	alpp_p + pe160_p  -> lpp_p + 2agpe160_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
ALPATG160pp	Apolipoprotein N-acyltransferase (phosphatidylglycerol, periplasm)	Unassigned	alpp_p + pg160_p  -> lpp_p + 2agpg160_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
LPLIPAL2ATE140	Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C14:0)	Glycerophospholipid Metabolism	2agpe140_c + pg140_c  -> apg140_c + g3pe_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
LPLIPAL2ATE160	Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C16:0)	Glycerophospholipid Metabolism	2agpe160_c + pg160_c  -> apg160_c + g3pe_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
LPLIPAL2ATE180	Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C18:0)	Glycerophospholipid Metabolism	pg180_c + 2agpe180_c  -> g3pe_c + apg180_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
LPLIPAL2ATE141	Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C14:1)	Glycerophospholipid Metabolism	pg141_c + 2agpe141_c  -> apg141_c + g3pe_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
LPLIPAL2ATE161	Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C16:1)	Glycerophospholipid Metabolism	pg161_c + 2agpe161_c  -> apg161_c + g3pe_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
LPLIPAL2ATE181	Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C18:1)	Glycerophospholipid Metabolism	2agpe181_c + pg181_c  -> apg181_c + g3pe_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
FE3HOXUtex	Fe(III)hydroxamate unloaded secretion	Inorganic Ion Transport and Metabolism	h_p + fe3hox_un_c  -> h_c + fe3hox_un_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
TPRDCOAS	Triphosphoribosyl-dephospho-CoA synthase	Cofactor and Prosthetic Group Biosynthesis	atp_c + dpcoa_c  -> 2tpr3dpcoa_c + ade_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
ACGAM1PPpp	N-acetyl-D-glucosamine 1-phosphatase (periplasm)	Alternate Carbon Metabolism	h2o_p + acgam1p_p  -> acgam_p + pi_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_dgmp_e	DGMP exchange	Extracellular exchange	dgmp_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GAMptspp	D-glucosamine transport via PEP:Pyr PTS (periplasm)	Transport, Inner Membrane	pep_c + gam_p  -> gam6p_c + pyr_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_4hoxpacd_e	4-Hydroxyphenylacetaldehyde exchange	Extracellular exchange	4hoxpacd_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GSNtex	Guanosine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	gsn_e  <=> gsn_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
RIBtex	Ribose transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	rib__D_e  <=> rib__D_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
FLVRx	Flavin reductase (NAD)	Cofactor and Prosthetic Group Biosynthesis	h_c + ribflv_c + nadh_c  -> nad_c + rbflvrd_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
THMtex	Thiamine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	thm_e  <=> thm_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
XYLUtex	L-xylulose transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	xylu__L_e  <=> xylu__L_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_manglyc_e	2(alpha-D-Mannosyl)-D-glycerate exchange	Extracellular exchange	manglyc_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
ALLtex	Allose transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	all__D_e  <=> all__D_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GGPTRCO	Gamma glutamyl putrescine oxidase	Alternate Carbon Metabolism	o2_c + ggptrc_c + h2o_c  -> nh4_c + h2o2_c + ggbutal_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_metsox_R__L_e	L-methionine-R-sulfoxide exchange	Extracellular exchange	metsox_R__L_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
34dhpactex	Dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	34dhpac_e  <=> 34dhpac_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
MALTHXtexi	Maltohexaose transport via diffusion (extracellular to periplasm) irreversible	Transport, Outer Membrane	malthx_e  -> malthx_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
12PPDStpp	(S)-Propane-1,2-diol facilitated transport (periplasm)	Transport, Inner Membrane	12ppd__S_p  <=> 12ppd__S_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
HYD1pp	Hydrogenase (ubiquinone-8: 2 protons) (periplasm)	Oxidative Phosphorylation	2 h_c + q8_c + h2_c  -> 2 h_p + q8h2_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_cl_e	Chloride exchange	Extracellular exchange	cl_e  <=> 	-0.00 / 0.00	-0.00 / 0.00	-0.00 / 0.00	1.00
FE3DHBZStonex	Ferric 2,3-dihydroxybenzoylserine transport via ton system (extracellular)	Transport, Outer Membrane	h_p + fe3dhbzs_e  -> h_c + fe3dhbzs_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
AACTOOR	Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)	Methylglyoxal Metabolism	o2_c + aact_c + h2o_c  -> nh4_c + mthgxl_c + h2o2_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
H2tpp	Hydrogen transport diffusion (periplasm)	Transport, Inner Membrane	h2_p  <=> h2_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
23DAPPAtex	2,3-diaminopropionate transport via diffusion	Transport, Outer Membrane Porin	23dappa_e  <=> 23dappa_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
ECAP3pp	Enterobacterial common antigen polymerase (periplasm)	Lipopolysaccharide Biosynthesis / Recycling	eca3und_p + unagamuf_p  -> eca4und_p + udcpdp_p + h_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
FEOXAMtonex	Ferroxamine transport via ton system (extracellular)	Transport, Outer Membrane	h_p + feoxam_e  -> h_c + feoxam_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
FMNRx	FMN reductase	Cofactor and Prosthetic Group Biosynthesis	h_c + fmn_c + nadh_c  -> nad_c + fmnh2_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_3hpppn_e	3-(3-hydroxy-phenyl)propionate exchange	Extracellular exchange	3hpppn_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_man6p_e	D-Mannose 6-phosphate exchange	Extracellular exchange	man6p_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_tsul_e	Thiosulfate exchange	Extracellular exchange	tsul_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_n2o_e	Nitrous oxide exchange	Extracellular exchange	n2o_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GUI2	Glucuronate isomerase (D-galacturonate)	Alternate Carbon Metabolism	galur_c  <=> tagur_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
OMBZLM	2-Octaprenyl-6-methoxy-benzoquinol methylase	Cofactor and Prosthetic Group Biosynthesis	amet_c + 2ombzl_c  -> h_c + ahcys_c + 2ommbl_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_maltttr_e	Maltotetraose exchange	Extracellular exchange	maltttr_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GPDDA3	Glycerophosphodiester phosphodiesterase (Glycerophosphoserine)	Glycerophospholipid Metabolism	g3ps_c + h2o_c  -> h_c + glyc3p_c + ser__L_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
2DOXG6PP	2 deoxyglucose 6 phosphatase	Alternate Carbon Metabolism	2doxg6p_c + h2o_c  -> pi_c + 2dglc_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
OXAMTC	Oxamate transcarbamoylase	Nitrogen Metabolism	pi_c + oxur_c  -> oxam_c + cbp_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
UDCPPtppi	Undecaprenyl phosphate transport (cytoplasm to periplasm)	Lipopolysaccharide Biosynthesis / Recycling	udcpp_p  -> udcpp_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_lipoate_e	Lipoate exchange	Extracellular exchange	lipoate_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_pydx_e	Pyridoxal exchange	Extracellular exchange	pydx_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_g1p_e	D-Glucose 1-phosphate exchange	Extracellular exchange	g1p_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GLCtex_copy2	Glucose transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	glc__D_e  <=> glc__D_p 	-992.70 / 15.00	-992.70 / 15.00	-992.70 / 15.00	1.00
NAt3pp	Sodium transport out via proton antiport (cytoplasm to periplasm)	Inorganic Ion Transport and Metabolism	h_p + na1_c  -> h_c + na1_p 	0.00 / 1000.00	0.00 / 1000.00	0.00 / 1000.00	1.00
SFGTHi	S-Formylglutathione hydralase	Cofactor and Prosthetic Group Biosynthesis	h2o_c + Sfglutth_c  -> h_c + gthrd_c + for_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
K2L4Aabcpp	KDO(2)-lipid IV A transport via ABC system (periplasm)	Transport, Inner Membrane	atp_c + h2o_c + kdo2lipid4_c  -> h_c + adp_c + pi_c + kdo2lipid4_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
DSBCGT	DsbC:glutathione thiotransferase	Unassigned	dsbcox_p + 2 gthrd_p  -> dsbcrd_p + gthox_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
DSBGGT	DsbG:glutathione thiotransferase	Unassigned	dsbgox_p + 2 gthrd_p  -> gthox_p + dsbgrd_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
DHNAOT4	1,4-dihydroxy-2-naphthoate octaprenyltransferase	Cofactor and Prosthetic Group Biosynthesis	h_c + dhna_c + octdp_c  -> ppi_c + 2dmmql8_c + co2_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
AMPMS2	4-amino-2-methyl-5-phosphomethylpyrimidine synthetase	Cofactor and Prosthetic Group Biosynthesis	nad_c + air_c + h2o_c  -> 3 h_c + 4ampm_c + nadh_c + 2 for_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
DM_oxam_c	Sink needed to allow oxamate to leave system	Intracellular demand	oxam_c  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
THIORDXi	Hydrogen peroxide reductase (thioredoxin)	Unassigned	h2o2_c + trdrd_c  -> trdox_c + 2 h2o_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
PPPGO3	Protoporphyrinogen oxidase (anaerobic)	Cofactor and Prosthetic Group Biosynthesis	3 fum_c + pppg9_c  -> ppp9_c + 3 succ_c 	0.00 / 0.00	-0.00 / 0.00	0.00 / 0.00	1.00
PDX5POi	Pyridoxine 5'-phosphate oxidase	Cofactor and Prosthetic Group Biosynthesis	o2_c + pdx5p_c  -> pydx5p_c + h2o2_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
PDX5PO2	Pyridoxine 5'-phosphate oxidase (anaerboic	Cofactor and Prosthetic Group Biosynthesis	nad_c + pdx5p_c  -> h_c + pydx5p_c + nadh_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
HG2t3pp	Mercury (Hg+2) transport out via proton antiport (periplasm)	Inorganic Ion Transport and Metabolism	h_p + hg2_c  -> h_c + hg2_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
CYTBO3_4pp	Cytochrome oxidase bo3 (ubiquinol-8: 4 protons) (periplasm)	Oxidative Phosphorylation	4 h_c + 0.5 o2_c + q8h2_c  -> 4 h_p + h2o_c + q8_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_alaala_e	D-Alanyl-D-alanine exchange	Extracellular exchange	alaala_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_dtmp_e	DTMP exchange	Extracellular exchange	dtmp_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
MINOHPtexi	Myo-inositol phosphate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane	minohp_e  -> minohp_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
12PPDRtpp	(R)-Propane-1,2-diol facilitated transport (periplasm)	Transport, Inner Membrane	12ppd__R_p  <=> 12ppd__R_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
FACOAE120	Fatty-acid-CoA thioesterase (dodecanoate)	Cell Envelope Biosynthesis	ddcacoa_c + h2o_c  -> h_c + ddca_c + coa_c 	0.00 / 9.19	0.00 / 9.19	0.00 / 9.19	1.00
COLIPAabcpp	Core oligosaccharide lipid A transport via ABC system (periplasm)	Lipopolysaccharide Biosynthesis / Recycling	atp_c + h2o_c + colipa_c  -> h_c + adp_c + pi_c + colipa_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GAM6Pt6_2pp	D-Glucosamine 6-phosphate transport via phosphate antiport (periplasm)	Transport, Inner Membrane	2 pi_c + gam6p_p  -> gam6p_c + 2 pi_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
PPALtex	Propanal transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	ppal_e  <=> ppal_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
CA2tex	Calcium (Ca+2) transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	ca2_e  <=> ca2_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
CUtex	Copper (Cu+1) transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	cu_e  <=> cu_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
CU1Opp	Cuprous Oxidase (Cu+1)	Inorganic Ion Transport and Metabolism	4 h_p + o2_p + 4 cu_p  -> 4 cu2_p + 2 h2o_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
SUCDi	Succinate dehydrogenase (irreversible)	Oxidative Phosphorylation	q8_c + succ_c  -> q8h2_c + fum_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
LALDO2x	D-Lactaldehyde:NAD+ 1-oxidoreductase	Methylglyoxal Metabolism	h_c + mthgxl_c + nadh_c  -> nad_c + lald__D_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
12PPDRtex	(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	12ppd__R_e  <=> 12ppd__R_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
F6Ptex	Fructose 6-phosphate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	f6p_e  <=> f6p_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GAMAN6Ptex	D-glucosamine 6-phosphate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	gam6p_e  <=> gam6p_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
ALR4x	Aldose reductase (acetol)	Glycerophospholipid Metabolism	h_c + acetol_c + nadh_c  -> nad_c + 12ppd__R_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
ACONIs	Aconitate isomerase (spontaneous)	Unassigned	acon_T_c  <=> acon_C_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
F6Pt6_2pp	Fructose-6-phosphate transport via phosphate antiport (periplasm)	Transport, Inner Membrane	2 pi_c + f6p_p  -> f6p_c + 2 pi_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
PPALtpp	Propanal transport via channel (periplasm)	Transport, Inner Membrane	ppal_c  <=> ppal_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
PROGLYtex	L-Prolinylglycine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	progly_e  <=> progly_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_progly_e	L-Prolinylglycine exchange	Extracellular exchange	progly_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_12ppd__R_e	(R)-Propane-1,2-diol exchange	Extracellular exchange	12ppd__R_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
NTP12	Nucleoside-triphosphatase (XTP)	Nucleotide Salvage Pathway	xtp_c + h2o_c  -> h_c + pi_c + xdp_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
CFAS160E	Cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C16:0)	Glycerophospholipid Metabolism	2 amet_c + pe161_c  -> 2 h_c + cpe160_c + 2 ahcys_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
CFAS180E	Cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C18:0)	Glycerophospholipid Metabolism	2 amet_c + pe181_c  -> 2 h_c + 2 ahcys_c + cpe180_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
CFAS180G	Cyclopropane fatty acid synthase (Phosphatidylglycerol, n-C18:0)	Glycerophospholipid Metabolism	2 amet_c + pg181_c  -> 2 h_c + 2 ahcys_c + cpg180_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
PETNT161pp	Phosphoethanolamine transferase (c-C16:1)	Lipopolysaccharide Biosynthesis / Recycling	lipa_p + pe161_p  -> 12dgr161_p + enlipa_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
CGLYtex	L-Cysteinylglycine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	cgly_e  <=> cgly_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_urate_e	Urate exchange	Extracellular exchange	urate_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GTHOXtex	Glutathione (ox) transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	gthox_e  <=> gthox_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
DSBAO1	DsbA protein reoxidation reaction (aerobic)	Unassigned	dsbard_p + q8_c  -> q8h2_c + dsbaox_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
DSBAO2	DsbA protein reoxidation reaction (anaerobic)	Unassigned	dsbard_p + mqn8_c  -> dsbaox_p + mql8_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
DSBDR	DsbD reductase	Unassigned	dsbdox_c + trdrd_c  -> dsbdrd_c + trdox_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
TDSR1	Thiol:disulfide reductase (DsbC)	Transport, Inner Membrane	dsbdrd_c + dsbcox_p  -> dsbdox_c + dsbcrd_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
NTP11	Nucleoside-triphosphatase (dITP)	Nucleotide Salvage Pathway	ditp_c + h2o_c  -> h_c + pi_c + didp_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_cpgn_un_e	Coprogen unloaded (no Fe(III)) exchange	Extracellular exchange	cpgn_un_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
TDSR2	Thiol:disulfide reductase (DsbG)	Transport, Inner Membrane	dsbdrd_c + dsbgox_p  -> dsbdox_c + dsbgrd_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GTHRDtex	Glutathione transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	gthrd_e  <=> gthrd_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
OMMBLHX3	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (anaerobic)	Cofactor and Prosthetic Group Biosynthesis	nad_c + 2 atp_c + 3 h2o_c + 2ommbl_c  -> 3 h_c + 2 adp_c + 2 pi_c + 2omhmbl_c + nadh_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
NADHPO	NADH peroxidase	Unassigned	h_c + h2o2_c + nadh_c  -> nad_c + 2 h2o_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
NADH16pp	NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm)	Oxidative Phosphorylation	4 h_c + q8_c + nadh_c  -> 3 h_p + nad_c + q8h2_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_tartr__D_e	D-tartrate exchange	Extracellular exchange	tartr__D_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
DSERt2pp	D-serine transport in via proton symport (periplasm)	Transport, Inner Membrane	h_p + ser__D_p  -> h_c + ser__D_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_tungs_e	Tungstate exchange	Extracellular exchange	tungs_e  <=> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
CTBTCAL2	Crotonobetaine-CoA Ligase	Oxidative Phosphorylation	ctbt_c + atp_c + coa_c  -> adp_c + pi_c + ctbtcoa_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
BGLA1	6-phospho-beta-glucosidase	Alternate Carbon Metabolism	6pgg_c + h2o_c  -> glc__D_c + g6p_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_crn__D_e	D-carnitine exchange	Extracellular exchange	crn__D_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
OPHHX3	2-Octaprenylphenol hydroxylase (anaerobic)	Cofactor and Prosthetic Group Biosynthesis	nad_c + 2 atp_c + 2oph_c + 3 h2o_c  -> 3 h_c + 2 adp_c + 2 pi_c + 2ohph_c + nadh_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
AMMQLT8	S-adenosylmethione:2-demthylmenaquinole methyltransferase (menaquinone 8)	Cofactor and Prosthetic Group Biosynthesis	amet_c + 2dmmql8_c  -> h_c + ahcys_c + mql8_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
CRNDCAL2	D-Carnitine-CoA Ligase	Oxidative Phosphorylation	atp_c + crn__D_c + coa_c  -> adp_c + pi_c + crnDcoa_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
CRNCAL2	Carnitine-CoA Ligase	Oxidative Phosphorylation	atp_c + crn_c + coa_c  -> adp_c + pi_c + crncoa_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
FRULYSE	Fructoselysine 3-epimerase	Alternate Carbon Metabolism	psclys_c  <=> frulys_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
FRULYSt2pp	Fructoselysine transport via proton symport (periplasm)	Transport, Inner Membrane	h_p + frulys_p  -> h_c + frulys_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_psclys_e	Psicoselysine exchange	Extracellular exchange	psclys_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
TUNGStex	Tungstate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	tungs_e  <=> tungs_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
OXCDC	Oxalyl-CoA decarboxylase	Alternate Carbon Metabolism	h_c + oxalcoa_c  -> forcoa_c + co2_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
DM_aacald_c	Sink needed to allow aminoacetaldehyde to leave system	Intracellular demand	aacald_c  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
23DAPPAt2pp	2,3-diaminopropionate transport in via proton symport	Transport, Inner Membrane	h_p + 23dappa_p  -> h_c + 23dappa_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
CAt6pp	Calcium / sodium antiporter (1:1)	Inorganic Ion Transport and Metabolism	na1_p + ca2_c  <=> ca2_p + na1_c 	-1000.00 / 0.00	-1000.00 / 0.00	-1000.00 / 0.00	1.00
5DGLCNt2rpp	5-Dehydro-D-gluconate transport via proton symport, reversible (periplasm)	Transport, Inner Membrane	h_p + 5dglcn_p  <=> h_c + 5dglcn_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GALCTNt2pp	D-galactonate transport via proton symport (periplasm)	Transport, Inner Membrane	h_p + galctn__D_p  -> h_c + galctn__D_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GALCTNLtex	L-galactonate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	galctn__L_e  <=> galctn__L_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_galctn__L_e	L-Galactonate exchange	Extracellular exchange	galctn__L_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
KDUI	5-keto-4-deoxyuronate isomerase	Cell Envelope Biosynthesis	dt5hsu_c  -> dkdglcn_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
